s_no,county,sub_county,ward,village_location_town,name_of_site,type_of_site,humanitarian_coordination_hub,number_of_affected_households,total_no_of_affected_people,number_of_displaced_households,total_no_of_displaced_people,men,women,children,elderly,pregnant_lactating_women,person_with_disabilities,source_of_information,accessibility,infrastructure_damage_roads_bridges_schools_health_facilities_etc,comments_remarks,assessement_done_yes_no,assesment_lead_organization,priority_needs,assessment_date,no_of_people_in_need,no_of_people_reached_assisted,type_of_interventions,organization,sector,response_date,contacts_email_mobile,adm1_pcode,id,adm2_pcode
NA,Garissa,Garissa Township,Galbet,NA,Hyuga Primary school,School,Vihiga,414.0,1810,414.0,1810,445,442,859,64.0,64.0,5.0,KRCS,Accessible,NA,All the class room in the school have been occupied. Only the office of the head teacher and the Laboratory is left.,Yes,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipGalbetNAHyuga Primary schoolNA,KE007027
NA,Garissa,Garissa Township,Galbet,NA,Nep Technical,School,Garissa,512.0,2359,512.0,2359,631,595,1048,85.0,68.0,3.0,KRCS,Accessible,NA,"There are two villages camping in this facility, Bulla Kamor   A&B  and 	Bulla Vumbi",Yes,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipGalbetNANep TechnicalNA,KE007027
NA,Garissa,Garissa Township,Iftin,NA,Water Ground,NA,Garissa,382.0,1737,382.0,1737,417,411,852,57.0,42.0,2.0,KRCS,Accessible,NA,NA,Yes,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipIftinNAWater GroundNA,KE007027
NA,Garissa,Garissa Township,Galbet,NA,Jaribu Primary School,School,Garissa,193.0,415,193.0,415,108,114,152,41.0,29.0,2.0,KRCS,Accessible,NA,NA,Yes,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipGalbetNAJaribu Primary SchoolNA,KE007027
NA,Garissa,Garissa Township,Township,NA,FTC Camp,camp,Garissa,107.0,356,107.0,356,73,74,170,39.0,21.0,0.0,KRCS,Accessible,NA,NA,Yes,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipTownshipNAFTC CampNA,KE007027
NA,Garissa,Garissa Township,Liboi,NA,Liboi Camp,camp,Garissa,150.0,549,150.0,549,145,90,268,46.0,30.0,0.0,KRCS,Accessible,NA,NA,Yes,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipLiboiNALiboi CampNA,KE007027
NA,Garissa,Garissa Township,Galbet,NA,Kazuko Primary school,School,Garissa,130.0,533,130.0,533,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,"They have occupied all the classes, 4hhs in each class.; The camps chairman is Yussuf Ahmed of tel. no: 0721547298; 8 toilets open for the IDPs.",NO,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipGalbetNAKazuko Primary schoolNA,KE007027
NA,Garissa,Garissa Township,Galbet,NA,Tumaini,NA,Garissa,160.0,656,160.0,656,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NO,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipGalbetNATumainiNA,KE007027
NA,Garissa,Garissa Township,Township,NA,Industrial park,NA,Garissa,320.0,1312,320.0,1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipTownshipNAIndustrial parkNA,KE007027
NA,Garissa,Garissa Township,Iftin,NA,Young Muslim,NA,Garissa,150.0,615,150.0,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipIftinNAYoung MuslimNA,KE007027
NA,Garissa,Garissa Township,Iftin,NA,Province (Water Field),NA,Garissa,382.0,1566.2,382.0,1566.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipIftinNAProvince (Water Field)NA,KE007027
NA,Garissa,Garissa Township,Iftin,NA,Farmers Training Centre (FTC),NA,Garissa,451.0,1849.1,451.0,1849.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipIftinNAFarmers Training Centre (FTC)NA,KE007027
NA,Garissa,Garissa Township,Waberi,NA,Bula Nyuki,NA,Garissa,300.0,1230,300.0,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipWaberiNABula NyukiNA,KE007027
NA,Garissa,Garissa Township,Waberi,NA,Bula Mzuri,NA,Garissa,50.0,205,50.0,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipWaberiNABula MzuriNA,KE007027
NA,Garissa,Garissa Township,Sankuri,Sankuri Town,NA,NA,Garissa,762.0,3124.2,762.0,3124.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipSankuriSankuri TownNANA,KE007027
NA,Garissa,Garissa Township,Sankuri,Raya Town,NA,NA,Garissa,370.0,1517,370.0,1517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipSankuriRaya TownNANA,KE007027
NA,Garissa,Garissa Township,Sankuri,Shimbirey village,NA,NA,Garissa,38.0,155.8,38.0,155.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipSankuriShimbirey villageNANA,KE007027
NA,Garissa,Garissa Township,Sankuri,Abdisamad,NA,NA,Garissa,140.0,574,140.0,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipSankuriAbdisamadNANA,KE007027
NA,Garissa,Hulugho,NA,NA,NA,NA,Garissa,1920,11520,180.0,1080,NA,NA,NA,NA,NA,NA,NA,Totally cut off from the rest of the county,NA,12 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaHulughoNANANA1920,KE007031
NA,Garissa,Fafi,NA,NA,NA,NA,Garissa,850,5100,160.0,960,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,8 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaFafiNANANA850,KE007031
NA,Garissa,Ijara,NA,NA,NA,NA,Garissa,1969,11814,430.0,2580,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,14 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaIjaraNANANA1969,KE007032
NA,Garissa,Balambala,NA,NA,NA,NA,Garissa,2500,15000,310.0,1860,NA,NA,NA,NA,NA,NA,NA,Completely cut off.,NA,13 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaBalambalaNANANA2500,KE007028
NA,Garissa,Lagdera,NA,NA,NA,NA,Garissa,2162,12972,866.0,5196,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,16 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaLagderaNANANA2162,KE007029
NA,Garissa,Garissa Township,NA,NA,NA,NA,Garissa,5156,30936,4372.0,26232,NA,NA,NA,NA,NA,NA,NA,Most affected sub county,NA,9 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaGarissa TownshipNANANA5156,KE007027
NA,Garissa,Ijara,NA,NA,NA,NA,Garissa,600,3600,120.0,720,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,4 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaIjaraNANANA600,KE007032
NA,Garissa,Dadaab,NA,NA,NA,NA,Garissa,1841,11046,410.0,2460,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,9 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaDadaabNANANA1841,KE007030
NA,Garissa,Dadaab,NA,NA,NA,NA,Garissa,680,4080,150.0,900,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,4 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaDadaabNANANA680,KE007030
NA,Garissa,Ijara,NA,NA,NA,NA,Garissa,1540,9240,280.0,1680,NA,NA,NA,NA,NA,NA,NA,Completely cut off,NA,8 villages affected,NA,KRCS,NA,2023-11-13,NA,NA,NA,NA,NA,NA,NA,KE007,GarissaIjaraNANANA1540,KE007032
NA,Mandera,Mandera East,Khalalio,Dariqa,NA,NA,Garissa,75,450,55.0,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastKhalalioDariqaNA75,KE009043
NA,Mandera,Mandera East,Khalalio,Khalalio,NA,NA,Garissa,30,180,15.0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastKhalalioKhalalioNA30,KE009043
NA,Mandera,Mandera East,Neboi,Boys town,NA,NA,Garissa,120,720,75.0,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastNeboiBoys townNA120,KE009043
NA,Mandera,Mandera East,Neboi,Bulla Hidaya,NA,NA,Garissa,131,786,85.0,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastNeboiBulla HidayaNA131,KE009043
NA,Mandera,Mandera East,Township,Bp- 1,NA,NA,Garissa,73,438,43.0,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastTownshipBp- 1NA73,KE009043
NA,Mandera,Mandera East,Neboi,Bulla Nguvu,NA,NA,Garissa,70,420,47.0,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastNeboiBulla NguvuNA70,KE009043
NA,Mandera,Mandera East,Neboi,Handadu,NA,NA,Garissa,250,1500,120.0,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastNeboiHandaduNA250,KE009043
NA,Mandera,Mandera East,Township,Barwako,NA,NA,Garissa,130,780,77.0,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastTownshipBarwakoNA130,KE009043
NA,Mandera,Mandera East,Township,Koromey,NA,NA,Garissa,60,360,42.0,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastTownshipKoromeyNA60,KE009043
NA,Mandera,Mandera East,Libihiya,Libihiya,NA,NA,Garissa,112,672,55.0,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera EastLibihiyaLibihiyaNA112,KE009043
NA,Mandera,Mandera North,Rhamu,Bulla Hargeysa,NA,NA,Garissa,105,630,55.0,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera NorthRhamuBulla HargeysaNA105,KE009041
NA,Mandera,Mandera North,Rhamu,Alfurqan,NA,NA,Garissa,97,582,52.0,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera NorthRhamuAlfurqanNA97,KE009041
NA,Mandera,Mandera North,Rhamu,Bulla Barwako,NA,NA,Garissa,33,198,47.0,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera NorthRhamuBulla BarwakoNA33,KE009041
NA,Mandera,Mandera North,Rhamu,Dagahley,NA,NA,Garissa,90,540,50.0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera NorthRhamuDagahleyNA90,KE009041
NA,Mandera,Mandera North,Rhamu,Qodii,NA,NA,Garissa,96,576,46.0,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera NorthRhamuQodiiNA96,KE009041
NA,Mandera,Mandera North,Rhamu,Dariqa,NA,NA,Garissa,103,618,69.0,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera NorthRhamuDariqaNA103,KE009041
NA,Mandera,Mandera South,Elwak South,Elwak Town,NA,NA,Garissa,344,2064,212.0,1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera SouthElwak SouthElwak TownNA344,KE009042
NA,Mandera,Mandera South,Elwak North,Aluteibi,NA,NA,Garissa,229,1374,127.0,762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera SouthElwak NorthAluteibiNA229,KE009042
NA,Mandera,Mandera South,Elwak North,Bulla Dana,NA,NA,Garissa,113,678,71.0,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera SouthElwak NorthBulla DanaNA113,KE009042
NA,Mandera,Mandera South,Shimbir Fatuma,Shimbir,NA,NA,Garissa,265,1590,170.0,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera SouthShimbir FatumaShimbirNA265,KE009042
NA,Mandera,Mandera South,Shimbir Fatuma,Fincharo,NA,NA,Garissa,137,822,77.0,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaMandera SouthShimbir FatumaFincharoNA137,KE009042
NA,Mandera,Lafey,Lafey,Damasa,NA,NA,Garissa,155,930,85.0,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaLafeyLafeyDamasaNA155,KE009044
NA,Mandera,Lafey,Fino,Fino,NA,NA,Garissa,104,624,37.0,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaLafeyFinoFinoNA104,KE009044
NA,Mandera,Lafey,Alungu,Alungu,NA,NA,Garissa,79,474,47.0,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaLafeyAlunguAlunguNA79,KE009044
NA,Mandera,Lafey,Lafey,Lafey,NA,NA,Garissa,112,672,62.0,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE009,ManderaLafeyLafeyLafeyNA112,KE009044
NA,Wajir,Wajir North,NA,Buna,NA,NA,Garissa,600,3600,600.0,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNABunaNA600,KE008033
NA,Wajir,Wajir North,NA,Beramo,NA,NA,Garissa,70,420,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNABeramoNA70,KE008033
NA,Wajir,Wajir North,NA,Elboru idho,NA,NA,Garissa,50,300,30.0,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAElboru idhoNA50,KE008033
NA,Wajir,Wajir North,NA,Surayo,NA,NA,Garissa,40,240,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNASurayoNA40,KE008033
NA,Wajir,Wajir North,NA,Jarte North,NA,NA,Garissa,40,240,40.0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAJarte NorthNA40,KE008033
NA,Wajir,Wajir North,NA,Jarte West,NA,NA,Garissa,40,240,40.0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAJarte WestNA40,KE008033
NA,Wajir,Wajir North,NA,Bute,NA,NA,Garissa,300,1800,100.0,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAButeNA300,KE008033
NA,Wajir,Wajir North,NA,Ogorji,NA,NA,Garissa,50,300,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAOgorjiNA50,KE008033
NA,Wajir,Wajir North,NA,Watiti,NA,NA,Garissa,250,1500,200.0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAWatitiNA250,KE008033
NA,Wajir,Wajir North,NA,Medina,NA,NA,Garissa,30,180,30.0,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAMedinaNA30,KE008033
NA,Wajir,Wajir North,NA,Fargadud,NA,NA,Garissa,40,240,40.0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNAFargadudNA40,KE008033
NA,Wajir,Wajir North,NA,Duhuma,NA,NA,Garissa,40,240,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir NorthNADuhumaNA40,KE008033
NA,Wajir,Eldas,NA,Tito,NA,NA,Garissa,80,480,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNATitoNA80,KE008037
NA,Wajir,Eldas,NA,Lakole,NA,NA,Garissa,100,600,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNALakoleNA100,KE008037
NA,Wajir,Eldas,NA,Basir,NA,NA,Garissa,120,720,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNABasirNA120,KE008037
NA,Wajir,Eldas,NA,Eldas,NA,NA,Garissa,400,2400,300.0,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNAEldasNA400,KE008037
NA,Wajir,Eldas,NA,Dela,NA,NA,Garissa,100,600,100.0,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNADelaNA100,KE008037
NA,Wajir,Eldas,NA,Masalale,NA,NA,Garissa,100,600,50.0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNAMasalaleNA100,KE008037
NA,Wajir,Eldas,NA,Beletwein,NA,NA,Garissa,50,300,50.0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirEldasNABeletweinNA50,KE008037
NA,Wajir,Wajir South,Diff,Diff,NA,NA,Garissa,720,4320,600.0,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthDiffDiffNA720,KE008038
NA,Wajir,Wajir South,NA,Sarif,NA,NA,Garissa,500,3000,200.0,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNASarifNA500,KE008038
NA,Wajir,Wajir South,NA,Dadajibula,NA,NA,Garissa,500,3000,400.0,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNADadajibulaNA500,KE008038
NA,Wajir,Wajir South,NA,Burder,NA,NA,Garissa,500,3000,250.0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNABurderNA500,KE008038
NA,Wajir,Wajir South,NA,Abaqdere,NA,NA,Garissa,50,300,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNAAbaqdereNA50,KE008038
NA,Wajir,Wajir South,NA,Muqdere,NA,NA,Garissa,70,420,50.0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNAMuqdereNA70,KE008038
NA,Wajir,Wajir South,NA,Hambalash,NA,NA,Garissa,60,360,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNAHambalashNA60,KE008038
NA,Wajir,Wajir South,NA,Ibrahim Ure,NA,NA,Garissa,100,600,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir SouthNAIbrahim UreNA100,KE008038
NA,Wajir,Tarbaj,NA,Wargadud,NA,NA,Garissa,70,420,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNAWargadudNA70,KE008035
NA,Wajir,Tarbaj,NA,Burmayo,NA,NA,Garissa,80,480,40.0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNABurmayoNA80,KE008035
NA,Wajir,Tarbaj,NA,Gunana,NA,NA,Garissa,100,600,100.0,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNAGunanaNA100,KE008035
NA,Wajir,Tarbaj,NA,Kotulo,NA,NA,Garissa,100,600,50.0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNAKotuloNA100,KE008035
NA,Wajir,Tarbaj,Tarbaj,Lafaley,NA,NA,Garissa,90,540,50.0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajTarbajLafaleyNA90,KE008035
NA,Wajir,Tarbaj,NA,Kajaja I,NA,NA,Garissa,45,270,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNAKajaja INA45,KE008035
NA,Wajir,Tarbaj,NA,Kajaja II,NA,NA,Garissa,45,270,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNAKajaja IINA45,KE008035
NA,Wajir,Tarbaj,NA,Dasheq,NA,NA,Garissa,70,420,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirTarbajNADasheqNA70,KE008035
NA,Wajir,Wajir East,NA,Handaki East,NA,NA,Garissa,60,360,40.0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir EastNAHandaki EastNA60,KE008034
NA,Wajir,Wajir East,NA,Korofharar,NA,NA,Garissa,150,900,20.0,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir EastNAKorofhararNA150,KE008034
NA,Wajir,Wajir East,NA,Boji Garas,NA,NA,Garissa,40,240,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir EastNABoji GarasNA40,KE008034
NA,Wajir,Wajir East,NA,Gumarey,NA,NA,Garissa,20,120,20.0,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir EastNAGumareyNA20,KE008034
NA,Wajir,Wajir East,NA,Konton,NA,NA,Garissa,60,360,40.0,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir EastNAKontonNA60,KE008034
NA,Wajir,Wajir East,Township,Wajir Municapality,NA,NA,Garissa,270,1620,0.0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KRCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,KE008,WajirWajir EastTownshipWajir MunicapalityNA270,KE008034
